Rank,Company,Industry,Revenue,Profit,Profit %,Year,Employees
51,United Technologies,"Aerospace, Defense",59837,4552,0.076073333,2018,204700
59,Lockheed Martin,"Aerospace, Defense",51048,2002,0.039217991,2018,100000
99,General Dynamics,"Aerospace, Defense",30973,2912,0.09401737,2018,98600
118,Northrop Grumman,"Aerospace, Defense",25803,2015,0.078091695,2018,70000
119,Rtx,"Aerospace, Defense",25348,2024,0.079848509,2018,64000
208,Textron,"Aerospace, Defense",14198,307,0.021622764,2018,37000
276,L3 Technologies,"Aerospace, Defense",11002,677,0.061534266,2018,38000
381,Huntington Ingalls Industries,"Aerospace, Defense",7441,479,0.064373068,2018,38000
405,Spirit Aerosystems Holdings,"Aerospace, Defense",6983,354.9,0.050823428,2018,15500
415,Rockwell Collins,"Aerospace, Defense",6822,705,0.103342128,2018,29000
24,Boeing,"Aerospace, Defense",94571,4895,0.051760053,2017,150540
50,United Technologies,"Aerospace, Defense",57244,5055,0.088306198,2017,201600
56,Lockheed Martin,"Aerospace, Defense",50658,5302,0.10466264,2017,97000
90,General Dynamics,"Aerospace, Defense",31353,2955,0.094249354,2017,98800
114,Northrop Grumman,"Aerospace, Defense",24508,2200,0.089766607,2017,67000
116,Rtx,"Aerospace, Defense",24069,2211,0.0918609,2017,63000
200,Textron,"Aerospace, Defense",13788,962,0.069770815,2017,36000
273,L3 Technologies,"Aerospace, Defense",10597,710,0.067000094,2017,38000
380,Huntington Ingalls Industries,"Aerospace, Defense",7068,573,0.08106961,2017,37000
393,Spirit Aerosystems Holdings,"Aerospace, Defense",6793,469.7,0.069144708,2017,14400
492,Rockwell Collins,"Aerospace, Defense",5259,728,0.138429359,2017,19000
24,Boeing,"Aerospace, Defense",96114,5176,0.053852717,2016,161400
45,United Technologies,"Aerospace, Defense",61047,7608,0.124625289,2016,197200
60,Lockheed Martin,"Aerospace, Defense",46132,3605,0.078145322,2016,126000
88,General Dynamics,"Aerospace, Defense",31469,2965,0.094219708,2016,99900
118,Northrop Grumman,"Aerospace, Defense",23526,1990,0.084587265,2016,65000
120,Rtx,"Aerospace, Defense",23247,2074,0.089215813,2016,61000
209,Textron,"Aerospace, Defense",13423,697,0.051925799,2016,35000
245,L3 Technologies,"Aerospace, Defense",11554,240,0.020772027,2016,38000
282,Precision Castparts,"Aerospace, Defense",10056,1530,0.152147971,2016,30106
378,Huntington Ingalls Industries,"Aerospace, Defense",7020,404,0.057549858,2016,35995
389,Spirit Aerosystems Holdings,"Aerospace, Defense",6644,789,0.118753763,2016,15200
490,Rockwell Collins,"Aerospace, Defense",5262,686,0.130368681,2016,19500
27,Boeing,"Aerospace, Defense",90762,5446,0.060003085,2015,165500
45,United Technologies,"Aerospace, Defense",65100,6220,0.095545315,2015,211500
64,Lockheed Martin,"Aerospace, Defense",45600,3614,0.079254386,2015,112000
